Phrase,Départ,Arrivée
"maintenant, j'aimerais que les trains de Saint-Sulpice (Tarn) à Saint-Sulpice-Izon partent entre 16h30 et 17h30","Saint-Sulpice (Tarn)","Saint-Sulpice-Izon"
"Quels trains économiques sont disponibles de Nonancourt à Estressin le 17 décembre","Nonancourt","Estressin"
"je voudrais un train de Sainte-Pazanne à Campagnac-Saint-Geniez","Sainte-Pazanne","Campagnac-Saint-Geniez"
"Quels trains y a-t-il le mercredi soir ou le jeudi matin de Reignac-sur-Indre à Sierck-les-Bains ?","Reignac-sur-Indre","Sierck-les-Bains"
"trouvez-moi un train au départ de Malling arrivée à Ballan-Miré avec correspondance à Théoule-sur-Mer","Malling","Ballan-Miré"
"Quels trains sont disponibles entre Vanves-Malakoff et Brive-la-Gaillarde arrivant à 6h30","Vanves-Malakoff","Brive-la-Gaillarde"
"quel est le train le moins cher de Beauvais à Marseille-en-Beauvaisis","Beauvais","Marseille-en-Beauvaisis"
"quels trains y a-t-il de Béthune à Massy-Palaiseau sur le continent","Béthune","Massy-Palaiseau"
"Quels trains Européen propose-t-il de Pont-de-Buis à Erdre Active mardi","Pont-de-Buis","Erdre Active"
"puis-je voyager de Bedous à Chessy Magalas","Bedous","Chessy Magalas"
"trains de Étaples-Le Touquet à Esvres sur Indre","Étaples-Le Touquet","Esvres sur Indre"
"j'aimerais savoir si vous avez des trains pour Sartrouville depuis Étain","Étain","Sartrouville"
"Eu à Le Mans","Eu","Le Mans"
"je suis intéressé par un train sur Gap d'Issoire","Issoire","Gap"
"quels trains partent d'Istres à Ingrandes-Le Fresne-sur-Loire le soir","Istres","Ingrandes-Le Fresne-sur-Loire"
"cherche un train sans correspondance du dimanche de Jacques-Monod-La Demi-Lieue à Jœuf","Jacques-Monod-La Demi-Lieue","Jœuf"
"lister tous les trains d'Itxassou à L'Abbaye","Itxassou","L'Abbaye"
"j'aimerais voir des trains de Saint-Michel-sur-Orge à La Baule Les Pins","Saint-Michel-sur-Orge","La Baule Les Pins"
"Le train Saint-Omer La Barasse","Saint-Omer","La Barasse"
"Afficher tous les trains de correspondance de Saint-Romain-le-Puy à La Coquille","Saint-Romain-le-Puy","La Coquille"
"lister les trains quotidiens de Vénissieux à La Gouesnière-Cancale-Saint-Méloir-des-Ondes","Vénissieux","La Gouesnière-Cancale-Saint-Méloir-des-Ondes"
"J'ai besoin d'un train de Saint-Médard-sur-Ille à La Loupe à la louche","Saint-Médard-sur-Ille","La Loupe"
"J'aimerais réserver un train de Allassac à Cergy le Haut le premier juin","Allassac","Cergy le Haut"
"montrez-moi tous les trains directs uniquement de Boisseaux à Pont-du-Château qui arrivent avant 10 heures, heure locale","Boisseaux","Pont-du-Château"
"montre-moi la route de Route de Launaguet à La Ricamarie le 16 juin","Launaguet","La Ricamarie"
"lister tous les trains allant de Rambouillet à La Rivière-Drugeon après 6 heures le mercredi et avant 7 heures le jeudi","Rambouillet","La Rivière-Drugeon"
"de Drancy à Fors avec arret détente","Drancy","Fors"
"montre-moi les trains de Franconville-Le Plessis-Bouchard à Francheville","Franconville-Le Plessis-Bouchard","Francheville"
"j'ai besoin d'un train de Tampa à Montréal","Tampa","Montréal"
"qu'est-ce que tu as de Foëcy à Firminy samedi matin","Foëcy","Firminy"
"lister tous les trains pour Saint-Vit à Jouy avec le nombre maximum d'arrêts","Saint-Vit","Jouy"
"quels sont les trains de Corrèze à Vendenheim lundi matin","Corrèze","Vendenheim"
"quel est le train le moins cher de Rouillé à Ebblinghem","Rouillé","Ebblinghem"
"de Remise à Jorelle à Ballancourt-sur-Essonne","Remise à Jorelle","Ballancourt-sur-Essonne"
"Y a-t-il des trains de Lardy à Pauillac s'arrêtant à Chézy-sur-Marne ?","Lardy","Pauillac"
"j'aimerais voyager de Ailly-sur-Somme à Aix-les-Bains le Revard","Ailly-sur-Somme","Aix-les-Bains le Revard"
"quels trains voyagent d'Alençon à Corbeil-Essonnes","Alençon","Corbeil-Essonnes"
